Point Size      Radius
1000           2.4
2000           2.2
3000           2
4000           1.9
5000           1.7
6000           1.7
7000           1.7
8000           1.6
9000           1.6
10000           1.5
12000           1.5
14000           1.5
16000           1.4
18000           1.35
20000           1.35
24000           1.3
28000           1.3
32000           1.25
36000           1.2
40000           1.2
48000           1.2
56000           1.1
64000           1.05
72000           1.05
80000           1.05
96000           1
112000           0.9
128000           0.9
144000           0.9
160000           0.85
192000           0.85
