Point Size      Radius
1000           1.9
2000           1.7
3000           1.5
4000           1.45
5000           1.35
6000           1.35
7000           1.25
8000           1.25
9000           1.2
10000           1.15
12000           1.15
14000           1.1
16000           1.05
18000           1.05
20000           1.05
24000           0.95
28000           0.95
32000           0.9
36000           0.9
40000           0.85
48000           0.85
56000           0.85
64000           0.8
72000           0.75
80000           0.75
96000           0.7
112000           0.7
128000           0.7
144000           0.65
160000           0.65
192000           0.6
